CECaseNumber__c,AlarmId__c,RCA_Reason__c,RCA_Comments__c,Delay_Reason__c,Delay_Comments__c,Status,Date_Time_Resolved__c,Material1__c,Material2__c,Material3__c,Material4__c,Material5__c,Material_1_Quantity__c,Material_2_Quantity__c,Material_3_Quantity__c,Material_4_Quantity__c,Material_5_Quantity__c,GIS_Updation_Required__c,GIS_Updated__c,Material_Consumed__c,Customer_TID__c
MUM_170724_220665,,Fiber cut,18-17- fiber,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220299,,Power issue,Area power fail,The EB team is not allowed,,Closed,17-07-2024 01:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220289,,Power issue,Area power fail,The EB team is not allowed,,Closed,17-07-2024 01:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220325,,Fiber cut,17  fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 02:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220323,,Fiber cut,17  fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 02:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220321,,Fiber cut,17  fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 02:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220941,,VIL Support,18- Nod Issue,VIL issue,,Closed,17-07-2024 11:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220940,,VIL Support,18- Nod Issue,VIL issue,,Closed,17-07-2024 11:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_220935,,VIL Support,18- Nod Issue,VIL issue,,Closed,17-07-2024 11:42,,,,,,,,,,,False,No,FALSE,
MUM_170724_221998,,Power issue,Auto Restored,The EB team is not allowed,,Closed,17-07-2024 21:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_221993,,Power issue,Auto Restored,The EB team is not allowed,,Closed,17-07-2024 21:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220429,,Fiber cut,17-16-Fiber Cut-13-Fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 14:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220428,,Fiber cut,17-16-Fiber Cut-13-Fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 14:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220427,,Fiber cut,17-16-Fiber Cut-13-Fiber Cut,BMC issue/tree cutting,,Closed,18-07-2024 14:12,,,,,,,,,,,False,No,FALSE,
MUM_170724_220662,,Fiber cut,17-09-Fiber cut,BMC issue/tree cutting,,Closed,17-07-2024 08:42,,,,,,,,,,,False,No,FALSE,
